Date,return_lag1,return_lag2,return_lag3,vol_5d,vol_20d,mean_5d,mean_20d,momentum_10d
2016-02-02,-0.011842810431843629,0.03491567738347749,0.012485184270097975,0.024506343649556738,0.020599554178122977,0.005537948120084939,-0.0028922428477136846,0.01945616142404408
2016-02-03,-0.026575949713794164,-0.011842810431843629,0.03491567738347749,0.02672912538423357,0.02118671273265656,-0.0034835081216912462,-0.0036175477330273862,0.00017348847770694287
2016-02-04,0.01527562178258576,-0.026575949713794164,-0.011842810431843629,0.02417216792365122,0.021604834918834723,0.004851544658104686,-0.002721085088193694,0.031409295995398365
2016-02-05,0.009770766969002321,0.01527562178258576,-0.026575949713794164,0.023987639997914107,0.021565608218498688,0.004308661197885556,-0.001470144775962912,0.042029956000572556
2016-02-08,-0.017790651747616622,0.009770766969002321,0.01527562178258576,0.018011289913976342,0.020561184368340483,-0.0062326046283332675,-0.0006604421867849018,-0.013291958775824786
2016-02-09,-0.0030921559253275703,-0.017790651747616622,0.009770766969002321,0.017753165038248888,0.020484261469874324,-0.004482473727030056,-0.00038096539493209574,0.005277371965274415
2016-02-10,-0.0033094340535792383,-0.0030921559253275703,-0.017790651747616622,0.012900461873568447,0.02049419789937002,0.00017082940501292966,-0.0005524556659510948,-0.016563393583391584
2016-02-11,-0.005063050282387724,-0.0033094340535792383,-0.0030921559253275703,0.009774892502540232,0.020315098908775933,-0.003896905007981767,-0.001381066484714409,0.004773198250614598
2016-02-12,-0.012113500657802187,-0.005063050282387724,-0.0033094340535792383,0.006463687930174998,0.020127357469861766,-0.00827375853334267,-0.0011145286986651473,-0.019825486677285564
2016-02-16,0.029266402361842116,-0.012113500657802187,-0.005063050282387724,0.016147261392625695,0.020273316495700917,0.0011376522885490792,-0.001019191359849211,-0.02547476169892094
2016-02-17,0.015940966088007807,0.029266402361842116,-0.012113500657802187,0.01711527882573993,0.019699695330994776,0.004944276691216155,0.001088258812248729,0.0023090148209304953
2016-02-18,0.014407046621797781,0.015940966088007807,0.029266402361842116,0.016810536973335007,0.019811050471402036,0.008487572826291558,0.0021732749817114693,0.04329201115652244
2016-02-19,-0.008633213122699879,0.014407046621797781,0.015940966088007807,0.017587846127822857,0.019523737584402526,0.007773540258229128,0.0025396236123317586,0.019383176251236804
2016-02-22,-0.002155864351291166,-0.008633213122699879,0.014407046621797781,0.015170671549119073,0.01953784958549063,0.009765067519531332,0.002474325046575794,0.007456544930943315
2016-02-23,0.009038030975587679,-0.002155864351291166,-0.008633213122699879,0.010711981851194262,0.01780940597619312,0.0057193932422804445,0.0010496634439161416,0.03428522765414761
2016-02-24,-0.027022960865484027,0.009038030975587679,-0.002155864351291166,0.016258748552287126,0.018205208204009324,-0.002873392148417922,0.0007815897339632791,0.01035442271399116
2016-02-25,0.0055528316365908645,-0.027022960865484027,0.009038030975587679,0.014266182710601106,0.017765211203587296,-0.004644235145459305,0.0001326647410384841,0.019216688404161263
2016-02-26,0.010630128705505396,0.0055528316365908645,-0.027022960865484027,0.01546992933564748,0.016755399913877592,-0.0007915667798182504,0.001984153282133449,0.034909867392054386
2016-02-29,-0.0019617416279776208,0.010630128705505396,0.0055528316365908645,0.015465892466853494,0.0165894510721686,-0.0007527422351555413,0.0012618069872296694,0.04506162642187895
2016-03-01,-0.013011227572061997,-0.0019617416279776208,0.010630128705505396,0.015115824335574835,0.01484175291568398,-0.0051625939446854775,-0.0011345382605473051,0.0027839964879748363
