Date,portfolio_return
2016-01-04,-0.012069852007520124
2016-01-05,-0.0026536311140880828
2016-01-06,-0.015248039275613322
2016-01-07,-0.03398470353117683
2016-01-08,-0.008681691762383691
2016-01-11,0.00012037136680074318
2016-01-12,0.011509166092878564
2016-01-13,-0.017444256378787423
2016-01-14,0.027359655585523387
2016-01-15,-0.02620803735395099
2016-01-19,-0.007293276767457026
2016-01-20,-0.01596018573510566
2016-01-21,-0.0008498930361718754
2016-01-22,0.03753126302878072
2016-01-25,-0.021661486666426772
2016-01-26,0.01853133149508676
2016-01-27,-0.026399642116393906
2016-01-28,0.012485184270097975
2016-01-29,0.03491567738347749
2016-02-01,-0.011842810431843629
2016-02-02,-0.026575949713794164
2016-02-03,0.01527562178258576
2016-02-04,0.009770766969002321
2016-02-05,-0.017790651747616622
2016-02-08,-0.0030921559253275703
2016-02-09,-0.0033094340535792383
2016-02-10,-0.005063050282387724
2016-02-11,-0.012113500657802187
2016-02-12,0.029266402361842116
2016-02-16,0.015940966088007807
2016-02-17,0.014407046621797781
2016-02-18,-0.008633213122699879
2016-02-19,-0.002155864351291166
2016-02-22,0.009038030975587679
2016-02-23,-0.027022960865484027
2016-02-24,0.0055528316365908645
2016-02-25,0.010630128705505396
2016-02-26,-0.0019617416279776208
2016-02-29,-0.013011227572061997
2016-03-01,0.034009805901274545
2016-03-02,0.008983180533262775
2016-03-03,-0.001068080624499714
2016-03-04,0.0021999591939194088
2016-03-07,-0.001585135503077987
2016-03-08,-0.009412700651240748
2016-03-09,0.006662160232870937
2016-03-10,-0.0064766304500242485
2016-03-11,0.01065581497801549
2016-03-14,0.0008450822705776721
2016-03-15,0.008519449223095412
2016-03-16,0.005787110935163697
2016-03-17,0.003981426444056363
2016-03-18,0.0024265919616552737
2016-03-21,-0.00011086843657187118
2016-03-22,0.003456458598401908
2016-03-23,-0.004198798981896012
2016-03-24,-0.0012171294926971788
2016-03-28,-0.003870281361731022
2016-03-29,0.010609669300290392
2016-03-30,0.008709778622642779
2016-03-31,-0.005313981606869342
2016-04-01,0.004655375887699816
2016-04-04,0.0015571654130276957
2016-04-05,-0.013364852506410025
2016-04-06,0.01040061788091583
2016-04-07,-0.017776610200228832
2016-04-08,0.00445435312487633
2016-04-11,0.0026348896440027236
2016-04-12,0.01246378534058676
2016-04-13,0.018563716107555646
2016-04-14,0.005156932320805441
2016-04-15,-0.008004843253456882
2016-04-18,0.002142883545669115
2016-04-19,0.003790802723494715
2016-04-20,0.0022530720199744232
2016-04-21,-0.004400558960224553
2016-04-22,-0.015715195046363043
2016-04-25,-0.0018573388665504595
2016-04-26,-0.002827026336439906
2016-04-27,-0.01553757192841198
2016-04-28,-0.016132511617667468
2016-04-29,-0.0035692167687711657
2016-05-02,0.007794565257179663
2016-05-03,-0.007801052272970203
2016-05-04,-0.006633102214237434
2016-05-05,-0.0017254128786775118
2016-05-06,0.0036407961950718944
2016-05-09,-0.0028223696465540763
2016-05-10,0.013733976357326795
2016-05-11,-0.004436135535430978
2016-05-12,-0.0014441709923556627
2016-05-13,-0.006747565113981768
2016-05-16,0.017180645497079178
2016-05-17,-0.005859410602824893
2016-05-18,0.013290490747287376
2016-05-19,-0.0038092386120823557
2016-05-20,0.0036227381364712583
2016-05-23,-0.00036133044788426536
2016-05-24,0.015872594660044804
2016-05-25,0.012316441499750726
2016-05-26,-0.002284940929156304
2016-05-27,0.004030639477373043
2016-05-31,-0.0013725760349775867
2016-06-01,-0.0020176395719282638
2016-06-02,-0.005183116852585081
2016-06-03,-0.007734285103714602
2016-06-06,0.008634260602448643
2016-06-07,0.0038284438162770494
2016-06-08,0.0004341230332069551
2016-06-09,-0.0024920177358363675
2016-06-10,-0.008192731740228467
2016-06-13,-0.010944540331667722
2016-06-14,-0.006431221848252844
2016-06-15,-0.0027165902966248107
2016-06-16,0.008478944901269712
2016-06-17,-0.008181636153287118
2016-06-20,0.0005576131078039118
2016-06-21,0.011087347879662611
2016-06-22,-0.0038589331986211917
2016-06-23,0.012912732098097792
2016-06-24,-0.04200098000139904
2016-06-27,-0.02076809750129333
2016-06-28,0.02319124863546523
2016-06-29,0.018840963374474037
2016-06-30,0.013503040491370761
2016-07-01,-0.0006522577669360655
2016-07-05,-0.011580621405143845
2016-07-06,0.007972828046505866
2016-07-07,-0.0003353301549470899
2016-07-08,0.013018785040491275
2016-07-11,0.0048633169202894014
2016-07-12,0.010574534773861196
2016-07-13,-0.0003526118653749803
2016-07-14,0.009934644681444433
2016-07-15,0.00046973114222268386
2016-07-18,0.0022026405568584717
2016-07-19,-0.0052791075942364065
2016-07-20,0.012004424832882842
2016-07-21,-0.0029746413439639915
2016-07-22,0.0032787180270682365
2016-07-25,-0.008186149533715237
2016-07-26,-0.0024023469605752813
2016-07-27,0.012291168159058216
2016-07-28,0.0005862134450972042
2016-07-29,-0.002226247763236763
2016-08-01,-0.005570217406152807
2016-08-02,-0.0009047434723910256
2016-08-03,0.010057444185598908
2016-08-04,0.0029603429671962805
2016-08-05,0.013121323856873104
2016-08-08,0.004661058632047086
2016-08-09,0.001053683845822332
2016-08-10,-0.00930796980670924
2016-08-11,0.0026251730042685393
2016-08-12,0.0017311940738376093
2016-08-15,0.005174293527833853
2016-08-16,-0.0013423832909219599
2016-08-17,0.0013792801298692361
2016-08-18,0.002340307142687728
2016-08-19,-0.0027545636878910274
2016-08-22,-0.0014212516735953064
2016-08-23,0.0008515997634703477
2016-08-24,-9.477501217209326e-05
2016-08-25,-0.001260663516021871
2016-08-26,-0.0020474736013747353
2016-08-29,0.004389157647221906
2016-08-30,-0.0016988604720158855
2016-08-31,-0.002715970256205684
2016-09-01,0.00010638160752525548
2016-09-02,0.0053820482673679094
2016-09-06,0.002752246895251856
2016-09-07,-0.00022913699479918824
2016-09-08,-0.0050196828933293325
2016-09-09,-0.019618703236203072
2016-09-12,0.012071642001935421
2016-09-13,-0.00442063532231763
2016-09-14,0.005211572642496753
2016-09-15,0.014773664693861217
2016-09-16,-0.007347744655926457
